model_name,query_id,doc_id,latency_seconds,input_tokens,output_tokens,reasoning_tokens,inference_speed_tps,cost_dollars
glm-5.1,4aa6a8ff,hartfalen,40.9377,1141,2058,0,50.27,0.00746
glm-5.1,0b2e20cb,angst,31.4367,1086,772,0,24.56,0.00344
glm-5.1,8855208e,dementie,23.6007,1568,1624,0,68.81,0.00654
glm-5.1,5519eda5,COPD,41.6003,1625,2433,0,58.49,0.00909
glm-5.1,1c67df25,depressie,52.0385,2664,2262,0,43.47,0.00958
glm-5.1,25bd56b9,chronische nierschade,23.136,429,1279,0,55.28,0.00436
glm-5.1,1175e7f2,angst,31.4603,2464,1396,0,44.37,0.00671
glm-5.1,93ec35a2,hartfalen,74.0724,9719,1604,0,21.65,0.01446
glm-5.1,c0fe3d61,chronische nierschade,102.6464,585,2044,0,19.91,0.00687
glm-5.1,7872d4af,influenza,17.5994,127,909,0,51.65,0.00292
glm-5.1,e4d6be1f,hand-en-polsklachten,22.7398,313,1088,0,47.85,0.00366
glm-5.1,9ee9de9d,depressie,55.7411,1889,2436,0,43.7,0.00935
glm-5.1,54078445,chronische nierschade,24.0729,7926,1934,0,80.34,0.01372
glm-5.1,0799ea04,hand-en-polsklachten,24.7196,630,1214,0,49.11,0.00436
glm-5.1,0bcea948,COPD,46.9272,1348,2480,0,52.85,0.00896
glm-5.1,43434440,COPD,9.5123,2647,1256,0,132.04,0.00646
glm-5.1,1abb4245,influenza,11.8679,1893,1640,0,138.19,0.00691
glm-5.1,d52e0c76,COPD,39.0867,1718,728,0,18.63,0.00393
glm-5.1,b491a185,chronische nierschade,16.8959,2904,814,0,48.18,0.00535
glm-5.1,51c52429,COPD,21.7847,69,2419,0,111.04,0.00752
glm-5.1,abe17e24,dementie,15.9793,1411,918,0,57.45,0.00421
glm-5.1,f70574bf,influenza,16.4613,1226,1036,0,62.94,0.00439
glm-5.1,65aa0fc8,hand-en-polsklachten,24.0996,574,1792,0,74.36,0.00608
glm-5.1,cd5af29b,angst,48.9127,1017,1797,0,36.74,0.00653
glm-5.1,f69c847f,depressie,72.2089,53,1553,0,21.51,0.00484
glm-5.1,8b5e4588,COPD,15.8291,2930,2331,0,147.26,0.01005
glm-5.1,3d3ef213,depressie,40.5539,1176,2213,0,54.57,0.00797
glm-5.1,c4c0748f,angst,18.7244,1804,457,0,24.41,0.00318
glm-5.1,a0a6a9b1,angst,24.4888,2003,1157,0,47.25,0.00553
glm-5.1,3a4f20ad,chronische nierschade,22.0237,1247,1470,0,66.75,0.00575
glm-5.1,4242da9f,dementie,31.9516,2341,1282,0,40.12,0.00624
glm-5.1,85a2782d,hand-en-polsklachten,31.4898,1438,1405,0,44.62,0.00574
glm-5.1,63560c3a,COPD,21.9454,1725,1217,0,55.46,0.00544
glm-5.1,3bda86f2,depressie,52.1143,73,1223,0,23.47,0.00384
glm-5.1,2d9424b5,influenza,55.0737,1367,1695,0,30.78,0.00656
glm-5.1,ae0f75b7,astma_bij_volwassenen,33.807,1991,1787,0,52.86,0.00746
glm-5.1,3cbf9ccb,chronische nierschade,32.0828,3533,1683,0,52.46,0.00865
glm-5.1,13901c73,hand-en-polsklachten,8.3842,291,1046,0,124.76,0.00351
glm-5.1,7e5feb6a,dementie,47.5634,1234,2280,0,47.94,0.00823
glm-5.1,343f0bb1,influenza,7.9283,2318,965,0,121.72,0.00524
glm-5.1,a4c14c42,angst,19.6457,4242,802,0,40.82,0.00663
glm-5.1,d55c3c65,chronische nierschade,16.5493,2752,688,0,41.57,0.00482
glm-5.1,dade75aa,COPD,41.7695,94,1753,0,41.97,0.00549
glm-5.1,1ec7c876,depressie,22.3281,210,1006,0,45.06,0.00330
glm-5.1,809a64cb,COPD,39.9576,2691,1285,0,32.16,0.00659
glm-5.1,ae0001a8,depressie,69.2036,1798,3009,0,43.48,0.01103
glm-5.1,0ee54053,influenza,10.9204,305,1381,0,126.46,0.00455
glm-5.1,4113cc0d,dementie,14.6249,259,1473,0,100.72,0.00479
glm-5.1,875fe605,hand-en-polsklachten,42.3846,1219,1897,0,44.76,0.00704
glm-5.1,8fe309c8,COPD,41.9078,81,1717,0,40.97,0.00537
glm-5.1,15f6d2e0,influenza,5.4168,1793,954,0,176.12,0.00470
glm-5.1,0641e6e5,depressie,40.8931,1919,2000,0,48.91,0.00804
glm-5.1,85cde98f,dementie,112.5167,1107,1797,0,15.97,0.00662
glm-5.1,7d153c4f,hand-en-polsklachten,53.372,798,2059,0,38.58,0.00712
